Model,Emotion,Hamming Loss,F1 Score,Precision,Recall,F1 Micro,F1 Macro,Precision Micro,Recall Micro
Bi-LSTM Word Embeddings,guilt,0.14148471615720523,0.4807692307692308,0.47770700636942676,0.4838709677419355,0.8585152838427947,0.6994341603795597,0.8585152838427947,0.8585152838427947
Bi-LSTM Word Embeddings,anger,0.16943231441048034,0.3782051282051282,0.4338235294117647,0.3352272727272727,0.8305676855895197,0.6400631303310778,0.8305676855895197,0.8305676855895197
Bi-LSTM Word Embeddings,sadness,0.14148471615720523,0.5344827586206896,0.4720812182741117,0.6158940397350994,0.8585152838427947,0.7255318015554529,0.8585152838427947,0.8585152838427947
LSTM BERT,joy,0.039301310043668124,0.8484848484848485,0.9333333333333333,0.7777777777777778,0.9606986899563319,0.9129529109458864,0.9606986899563319,0.9606986899563319
LSTM BERT,fear,0.06462882096069869,0.7628205128205128,0.8040540540540541,0.725609756097561,0.9353711790393013,0.8627044930128853,0.9353711790393013,0.9353711790393013
LSTM BERT,shame,0.10131004366812227,0.5538461538461539,0.75,0.43902439024390244,0.8986899563318778,0.7483516483516484,0.8986899563318778,0.8986899563318778
LSTM BERT,disgust,0.08384279475982533,0.6923076923076923,0.7769784172661871,0.6242774566473989,0.9161572052401746,0.8218869098545539,0.9161572052401746,0.9161572052401746
LSTM BERT,guilt,0.08733624454148471,0.6575342465753424,0.7007299270072993,0.6193548387096774,0.9126637554585153,0.8037420982626462,0.9126637554585153,0.9126637554585153
LSTM BERT,anger,0.12314410480349346,0.6094182825484764,0.5945945945945946,0.625,0.8768558951965065,0.7681617073706613,0.8768558951965065,0.8768558951965065
LSTM BERT,sadness,0.06724890829694323,0.7137546468401487,0.8135593220338984,0.6357615894039735,0.9327510917030568,0.837827348160302,0.9327510917030568,0.9327510917030568
LSTM TF-IDF,joy,0.08558951965065502,0.631578947368421,0.8076923076923077,0.5185185185185185,0.914410480349345,0.7915799875182026,0.914410480349345,0.914410480349345
LSTM TF-IDF,fear,0.08209606986899563,0.6666666666666666,0.7966101694915254,0.573170731707317,0.9179039301310044,0.8099269588313414,0.9179039301310044,0.9179039301310044
LSTM TF-IDF,shame,0.1222707423580786,0.4067796610169492,0.6666666666666666,0.2926829268292683,0.8777292576419214,0.6693099863020482,0.8777292576419214,0.8777292576419214
LSTM TF-IDF,disgust,0.11441048034934498,0.5130111524163569,0.71875,0.3988439306358382,0.885589519650655,0.7240958780389553,0.885589519650655,0.885589519650655
LSTM TF-IDF,guilt,0.11965065502183406,0.4017467248908297,0.6216216216216216,0.2967741935483871,0.880349344978166,0.6676370693837943,0.880349344978166,0.880349344978166
LSTM TF-IDF,anger,0.1406113537117904,0.34285714285714286,0.6086956521739131,0.23863636363636365,0.8593886462882097,0.6320642682500873,0.8593886462882097,0.8593886462882097
LSTM TF-IDF,sadness,0.08471615720524017,0.6008230452674898,0.7934782608695652,0.48344370860927155,0.9152838427947598,0.7767183130587572,0.9152838427947598,0.9152838427947598
LSTM GloVe,joy,0.10218340611353711,0.6507462686567164,0.630057803468208,0.6728395061728395,0.8978165938864628,0.7954498606710692,0.8978165938864628,0.8978165938864628
LSTM GloVe,fear,0.09956331877729258,0.6068965517241379,0.6984126984126984,0.5365853658536586,0.9004366812227074,0.7749482758620689,0.9004366812227074,0.9004366812227074
LSTM GloVe,shame,0.11790393013100436,0.4206008583690987,0.7101449275362319,0.29878048780487804,0.8820960698689956,0.6774856503804657,0.8820960698689956,0.8820960698689956
LSTM GloVe,disgust,0.11004366812227075,0.5401459854014599,0.7326732673267327,0.4277456647398844,0.8899563318777293,0.7388229927007299,0.8899563318777293,0.8899563318777293
LSTM GloVe,guilt,0.11353711790393013,0.41964285714285715,0.6811594202898551,0.3032258064516129,0.8864628820960698,0.6783596667127645,0.8864628820960698,0.8864628820960698
LSTM GloVe,anger,0.13100436681222707,0.46808510638297873,0.6226415094339622,0.375,0.868995633187773,0.6966919555819275,0.868995633187773,0.868995633187773
LSTM GloVe,sadness,0.09344978165938865,0.5668016194331984,0.7291666666666666,0.46357615894039733,0.9065502183406113,0.7572138297851259,0.9065502183406113,0.9065502183406113
